# == pyFAI calibration ==
# Distance Sample to Detector: 0.30723295647962184 m
# PONI: 2.002e-01, 1.996e-01 m
# Rotations: -0.005249 0.007516 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 307.246 mm
# Center: x=1005.963, y=1012.551 pix
# Tilt: 0.525 deg  TiltPlanRot: 55.072 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.000e-04, 2.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.199e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ./output//CeO2-std-4.0s-300.0mm-56301-primary-pe1_image-00000.tiff.txt
#       2th_deg             I 
  1.093162e+00    1.428973e+03
  1.114388e+00    1.471873e+03
  1.135615e+00    1.502795e+03
  1.156841e+00    1.522339e+03
  1.178068e+00    1.537705e+03
  1.199294e+00    1.557402e+03
  1.220520e+00    1.567595e+03
  1.241747e+00    1.587632e+03
  1.262973e+00    1.593806e+03
  1.284200e+00    1.608675e+03
  1.305426e+00    1.617537e+03
  1.326653e+00    1.628165e+03
  1.347879e+00    1.644863e+03
  1.369106e+00    1.657532e+03
  1.390332e+00    1.676506e+03
  1.411558e+00    1.681780e+03
  1.432785e+00    1.700184e+03
  1.454011e+00    1.714887e+03
  1.475238e+00    1.732893e+03
  1.496464e+00    1.750891e+03
  1.517691e+00    1.761619e+03
  1.538917e+00    1.780835e+03
  1.560143e+00    1.786062e+03
  1.581370e+00    1.803743e+03
  1.602596e+00    1.814415e+03
  1.623823e+00    1.831734e+03
  1.645049e+00    1.850582e+03
  1.666276e+00    1.864246e+03
  1.687502e+00    1.886214e+03
  1.708729e+00    1.898921e+03
  1.729955e+00    1.923566e+03
  1.751181e+00    1.939116e+03
  1.772408e+00    1.958544e+03
  1.793634e+00    1.979056e+03
  1.814861e+00    1.996565e+03
  1.836087e+00    2.021948e+03
  1.857314e+00    2.035775e+03
  1.878540e+00    2.061705e+03
  1.899767e+00    2.077049e+03
  1.920993e+00    2.101037e+03
  1.942219e+00    2.127019e+03
  1.963446e+00    2.149789e+03
  1.984672e+00    2.182645e+03
  2.005899e+00    2.205648e+03
  2.027125e+00    2.240359e+03
  2.048352e+00    2.266949e+03
